Хүнсний 4-ийн баруун урд могул тауэрт 14 давхарт 70 м.кв 2 өрөө байр	2 өрөө	132000000.0	70.0 м²	2022	Байхгүй	1 тагттай	Сүхбаатар	16	14
Бгд 35м2 1өрөө байр	1 өрөө	75000000.0	35.0 м²	2015	Байхгүй	Тагтгүй	Баянгол	11	9
Four season village хотхонд 4 өрөө байр	4 өрөө	450000000.0	119.0 м²	2023	Байхгүй	2 тагттай	Баянгол	14	3
Парк вью хотхонд 4 өрөө орон сууц	4 өрөө	756840000.0	106.22 м²	2019	Байхгүй	2 тагттай	Баянзүрх	16	6
1-р хороолол 4 өрөө байр гал тогоо тусдаа 33-р байр	4 өрөө	720000000.0	115.0 м²	1990	Байхгүй	2 тагттай	Сонгино Хайрхан	9	7
Этүгэн ис-н зүүн талд star tower residence гаражтай 5 өрөө байр	5+ өрөө	508000000.0	147.0 м²	2021	Байгаа	2 тагттай	Сүхбаатар	16	3
1 өрөө байр 38.4м2	1 өрөө	120000000.0	38.4 м²	2013	Байхгүй	1 тагттай	Баянгол	10	8
Схд 21-р хороолол, хүүхдийн шинэ эмнэлгийн урд байрлалтай 1 өрөө орон сууц	1 өрөө	120000000.0	31.0 м²	2018	Байхгүй	1 тагттай	Сонгино Хайрхан	12	4
Хан хиллс хотхонд 4 өрөө орон сууц	4 өрөө	703500000.0	140.7 м²	2021	Байхгүй	1 тагттай	Хан-Уул	14	10
Баганат өргөө хотхонд 32,4м2 , 1 өрөө	1 өрөө	76000000.0	32.4 м²	2021	Байхгүй	1 тагттай	Баянзүрх	16	15
Баганат өргөө хотхонд 60м2, 2 өрөө	2 өрөө	230000000.0	60.0 м²	2022	Байхгүй	1 тагттай	Баянзүрх	16	15
Хүннү моллын ард вива сити хотхонд 3өрөө байр	3 өрөө	205000000.0	43.0 м²	2014	Байхгүй	Тагтгүй	Хан-Уул	5	2
2 өрөө байр зарна /төмөр замд/	2 өрөө	153000000.0	29.0 м²	1998	Байхгүй	1 тагттай	Баянгол	5	4
Түмэн амгалан хотхонд 42м2 2 өрөө	2 өрөө	230000000.0	42.0 м²	2023	Байхгүй	1 тагттай	Баянзүрх	16	8
Сансарын e mart ын хойно nissora tower 3 өрөө орон сууц	3 өрөө	195000000.0	113.5 м²	2019	Байгаа	1 тагттай	Баянзүрх	16	15
𝐑𝐎𝐌𝐀𝐍𝐀 𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐂𝐄-д 3 өрөө байр	3 өрөө	209870000.0	67.7 м²	2022	Байхгүй	1 тагттай	Хан-Уул	8	4
Улсын их дэлгүүрийн баруун хойд талд 2 өрөө орон сууц 73.7m2	2 өрөө	95000000.0	73.7 м²	2018	Байхгүй	1 тагттай	Чингэлтэй	13	12
Худ, академи -2 хотхонд 3 өрөө байр 79.98м2	3 өрөө	360000000.0	79.98 м²	2020	Байхгүй	1 тагттай	Хан-Уул	23	21
Бзд, emerald residence хотхонд гал тогоо тусдаа 4 өрөө орон сууц	4 өрөө	470120000.0	133.7 м²	2020	Байхгүй	1 тагттай	Баянзүрх	16	5
21 р хороололд гал тогоо тусдаа 53м2 2 өрөө байр	2 өрөө	145754000.0	53.0 м²	1997	Байхгүй	2 тагттай	Сонгино Хайрхан	5	4
Хан-уул зайсан ub town хотхонд 62.6м2 3өрөө байр	3 өрөө	174000000.0	62.6 м²	2016	Байхгүй	Тагтгүй	Хан-Уул	10	2
Худ, 19-р хороололд 2 өрөө байр	2 өрөө	131200000.0	41.0 м²	2006	Байхгүй	1 тагттай	Хан-Уул	12	9
3 өрөө байр	3 өрөө	205000000.0	67.0 м²	1984	Байхгүй	1 тагттай	Баянгол	9	7
Схд 6-р хороонд 2 өрөө байр	2 өрөө	123200000.0	44.0 м²	2015	Байхгүй	1 тагттай	Сонгино Хайрхан	10	9
10-р хороолол ачтан эмнэлэгийн зүүн талд байрлалтай 67м2 3 өрөө байр худалдана.	3 өрөө	424325000.0	67.0 м²	2014	Байгаа	1 тагттай	Баянгол	12	10
9 эрдэнэ хотхонд 2 өрөө 61,87м2	2 өрөө	155000000.0	61.87 м²	2016	Байхгүй	1 тагттай	Баянгол	12	4
2 өрөө байр	2 өрөө	145754000.0	36.0 м²	2021	Байхгүй	1 тагттай	Хан-Уул	20	4
Дөлгөөн нуурт 2 өрөө байр	2 өрөө	160000000.0	48.42 м²	2023	Байхгүй	1 тагттай	Сүхбаатар	16	15
Нарны хороололд 79,98м2 3 өрөө байр	3 өрөө	223944000.0	79.98 м²	2019	Байхгүй	1 тагттай	Баянгол	23	14
Elizabeth хотхонд 105.48мкв 3 өрөө байр	3 өрөө	326988000.0	105.48 м²	2021	Байгаа	2 тагттай	Баянзүрх	16	7
Зайсанд chariot residence хотхонд 205мкв 4 өрөө	4 өрөө	950000000.0	205.0 м²	2020	Байгаа	1 тагттай	Хан-Уул	6	1
Бзд, морнинг стар хотхонд 1 өрөө байр 30м2	1 өрөө	120000000.0	30.0 м²	2021	Байхгүй	Тагтгүй	Баянзүрх	16	16
Нарны хороололд 2 өрөө	2 өрөө	250000000.0	56.54 м²	2015	Байхгүй	1 тагттай	Баянгол	12	12
5 шард 2 өрөө	2 өрөө	153000000.0	43.88 м²	2013	Байхгүй	1 тагттай	Сонгино Хайрхан	10	7
Арцад-2 хотхонд 3-н өрөө 79.6м2	3 өрөө	169000000.0	79.6 м²	2023	Байхгүй	1 тагттай	Хан-Уул	16	11
115-р сургуулийн чанх урд 2 өрөө	2 өрөө	95000000.0	45.5 м²	2016	Байхгүй	1 тагттай	Хан-Уул	13	12
120н мянгат 114м2 3 өрөө байр	2 өрөө	10849000000.0	114.2 м²	2007	Байгаа	2 тагттай	Хан-Уул	10	9
Худ 2 р хороо хөрш заан хотхонд 2 өрөө	2 өрөө	182784000.0	56.25 м²	2015	Байхгүй	1 тагттай	Хан-Уул	16	1
Vega city цогцолбор хотхонд 4-н өрөө	4 өрөө	535000000.0	140.0 м²	2023	Байгаа	1 тагттай	Хан-Уул	16	7
Нарны хороолол	3 өрөө	250000000.0	80.0 м²	2019	Байхгүй	1 тагттай	Хан-Уул	23	14
4 өрөө байр 116м2	4 өрөө	311000000.0	116.0 м²	2007	Байхгүй	1 тагттай	Чингэлтэй	10	8
Бгд баруун 4 замд hill side хотхон 3 өрөө	3 өрөө	283500000.0	67.22 м²	2015	Байхгүй	Тагтгүй	Баянгол	16	16
Коёо таунд 63.05м2 3өрөө	3 өрөө	193000000.0	63.05 м²	2023	Байхгүй	1 тагттай	Хан-Уул	16	4
King tower 112м2 3өрөө байр	3 өрөө	220000000.0	112.0 м²	2023	Байхгүй	1 тагттай	Хан-Уул	16	4
Бзд 26-р хороо саруул хотхонд 2 өрөө	2 өрөө	115000000.0	42.0 м²	2023	Байхгүй	1 тагттай	Баянзүрх	16	9
